"as.matrix.all_banq.","date2"
0,2002-04-16
67.43,2002-05-08
-219.1,2002-08-15
-240.85,2002-09-17
-208.73,2002-10-16
-208.94,2002-11-14
-195.37,2002-12-17
-147.11,2003-01-15
-157.53,2003-02-13
-91.08,2003-03-15
-44.99,2003-04-16
-39.44,2003-05-12
-214.97,2003-07-17
-350.9,2003-08-15
-392.8,2003-09-17
-390.3,2003-10-16
-393.27,2003-11-14
-352.61,2003-12-17
-377.18,2004-01-08
-384.21,2004-02-17
-362.42,2004-03-17
-299.72,2004-04-16
-316.37,2004-05-15
-336.29,2004-06-17
-432.8,2004-07-16
-557,2004-08-14
-598.78,2004-09-16
-618.19,2004-10-16
-575.5,2004-11-14
-550.41,2004-12-17
-565.39,2005-01-15
-543.11,2005-02-13
-497.1,2005-03-15
-490.16,2005-04-16
-452.77,2005-05-16
-500.35,2005-06-17
-629.61,2005-07-17
-820.12,2005-08-15
-885,2005-09-17
-875.5,2005-10-16
-873.88,2005-11-14
-824.38,2005-12-17
-847.31,2006-01-15
-798.31,2006-02-13
-777.53,2006-03-15
-804.5,2006-04-16
-792.08,2006-05-16
-803.56,2006-06-14
-889.92,2006-07-17
-1017.56,2006-08-15
-1077.98,2006-09-17
-1064.07,2006-10-16
-1091.52,2006-11-14
-1100.97,2006-12-17
-1068.12,2007-01-15
-1026.89,2007-02-13
-1035.83,2007-03-15
-1021.76,2007-04-16
-1010.69,2007-05-16
-1029.61,2007-06-14
-1159.83,2007-07-17
-1356.55,2007-08-15
-1420.48,2007-09-17
-1448.86,2007-10-16
-1423.62,2007-11-14
-1363.54,2007-12-17
-1324.1,2008-01-15
-1343.58,2008-02-13
-1285.91,2008-03-17
-1306.35,2008-04-16
-1320.08,2008-05-15
-1323.86,2008-06-17
-1472.35,2008-07-16
-1632.85,2008-08-14
-1697.36,2008-09-16
-1684.65,2008-10-16
-1612.33,2008-11-14
-1539.1,2008-12-17
-1520.11,2009-01-15
-1566.15,2009-02-13
-1565.43,2009-03-15
-1546.71,2009-04-16
-1527.62,2009-05-16
-1536.01,2009-06-17
-1645.75,2009-07-17
-1855.34,2009-08-15
-1908.61,2009-09-17
-1883.95,2009-10-16
-1866.66,2009-11-14
-1841.8,2009-12-17
-1843.76,2010-01-15
-1825.41,2010-02-13
-1813.19,2010-03-15
-1836.6,2010-04-16
-1803.82,2010-05-16
-1909.77,2010-06-14
-2086.42,2010-07-17
-2282.06,2010-08-15
-2378.61,2010-09-17
-2343.31,2010-10-16
-2360.61,2010-11-14
-2343.16,2010-12-13
-2320.78,2011-02-17
-2305.02,2011-03-15
-2301.03,2011-04-16
-2320.48,2011-05-16
-2511.56,2011-07-17
-2705.43,2011-08-15
-2761.52,2011-09-17
-2786.01,2011-10-16
-2784.44,2011-10-30
-2724.72,2012-01-01
-2734.48,2012-01-15
-2716.18,2012-02-13
-2670.3,2012-03-17
-2660.35,2012-04-05
-2687.45,2012-06-17
-2919.43,2012-07-16
-3229.98,2012-08-14
-3332.6,2012-09-13
-3264.75,2012-11-18
-3249.97,2012-12-17
-3247.72,2013-01-15
-3239,2013-02-13
-3236.73,2013-04-20
-3201.03,2013-05-16
-3182.31,2013-06-17
-3294.58,2013-07-17
-3356.6,2013-10-16
-3357.29,2013-11-14
-3346.45,2013-12-17
-3332.08,2014-01-08
-3278.72,2014-03-15
-3266.53,2014-04-16
-3266.35,2014-05-16
-3305.72,2014-06-14
-3588.33,2014-08-15
-3627.26,2014-09-17
-3610.82,2014-10-16
-3606.07,2014-11-18
-3520.08,2015-01-22
-3526.69,2015-02-13
-3480.53,2015-03-15
-3472.56,2015-04-16
-3468.92,2015-04-27
-3654.98,2015-07-13
-3790.97,2015-08-15
-3827.74,2015-09-13
-3769.11,2015-12-24
-3714.33,2016-01-15
-3736.31,2016-02-13
-3735.71,2016-03-17
-3703.19,2016-05-19
-3699.9,2016-06-17
-3873.23,2016-07-16
-4126.86,2016-08-22
-3998.33,2016-11-29
-4066.46,2016-12-24
-4014.04,2017-01-22
-4006.86,2017-04-02
-3970.87,2017-04-24
-3964.72,2017-05-12
-3994.24,2017-06-10
-4044.44,2018-06-14
-4068.22,2018-07-09
-4207.75,2018-10-30
-4173.61,2018-11-14
-4184.77,2018-12-17
-4189.47,2019-01-15
-4215.09,2019-02-13
-4235.91,2019-03-15
-4220.29,2019-04-16
-4201.9,2019-05-16
-4257.61,2019-06-14
-4459.92,2019-07-17
-4689.42,2019-08-15
-4782.03,2019-09-17
-4766.37,2019-10-16
-4723.96,2019-11-14
-4728.38,2019-12-17
-4766.09,2020-01-15
-4720.63,2020-02-13
-4755.57,2020-03-17
-4746.27,2020-04-16
-4719.16,2020-05-15
-4756.67,2020-06-17
-4910.95,2020-07-16
-4992.58,2020-08-14
-4997.47,2020-09-16
-5019.2,2020-10-16
-5049.58,2020-11-16
-5102.62,2020-12-16
-5164.26,2021-01-16
-5271.44,2021-02-16
-5314.28,2021-03-16
-5318.39,2021-04-16
-5323.68,2021-05-16
-5302.38,2021-06-16
-5317.6,2021-07-16
-5336.1,2021-08-16
-5334.47,2021-09-16
-5356.19,2021-10-16
-5386.58,2021-11-16
-5439.62,2021-12-16
-5501.25,2022-01-16
-5608.44,2022-02-16
-5651.28,2022-03-16
-5655.38,2022-04-16
-5660.67,2022-05-16
-5639.38,2022-06-16
-5654.6,2022-07-16
-5673.1,2022-08-16
-5671.46,2022-09-16
-5693.19,2022-10-16
-5723.58,2022-11-16
-5776.61,2022-12-16
-5838.25,2023-01-16
-5945.44,2023-02-16
-5988.27,2023-03-16
-5992.38,2023-04-16
-5997.67,2023-05-16
-5976.38,2023-06-16
-5991.6,2023-07-16
-6010.1,2023-08-16
-6008.46,2023-09-16
-6030.19,2023-10-16
-6060.57,2023-11-16
-6113.61,2023-12-16
-6175.25,2024-01-16
-6282.43,2024-02-16
-6325.27,2024-03-16
-6329.38,2024-04-16
-6334.67,2024-05-16
-6313.37,2024-06-16
-6328.59,2024-07-16
-6347.09,2024-08-16
-6345.46,2024-09-16
-6367.18,2024-10-16
-6397.57,2024-11-16
-6450.61,2024-12-16
-6512.24,2025-01-16
-6619.43,2025-02-16
-6662.27,2025-03-16
-6666.37,2025-04-16
-6671.66,2025-05-16
-6650.37,2025-06-16
-6665.59,2025-07-16
-6684.09,2025-08-16
-6682.45,2025-09-16
-6704.18,2025-10-16
-6734.57,2025-11-16
-6787.6,2025-12-16
-6849.24,2026-01-16
-6956.43,2026-02-16
-6999.26,2026-03-16
-7003.37,2026-04-16
-7008.66,2026-05-16
-6987.37,2026-06-16
-7002.59,2026-07-16
-7021.09,2026-08-16
-7019.45,2026-09-16
-7041.18,2026-10-16
-7071.56,2026-11-16
-7124.6,2026-12-16
-7186.24,2027-01-16
-7293.42,2027-02-16
-7336.26,2027-03-16
-7340.37,2027-04-16
-7345.66,2027-05-16
-7324.36,2027-06-16
-7339.58,2027-07-16
-7358.08,2027-08-16
-7356.45,2027-09-16
-7378.17,2027-10-16
-7408.56,2027-11-16
-7461.6,2027-12-16
-7523.23,2028-01-16
-7630.42,2028-02-16
-7673.26,2028-03-16
-7677.36,2028-04-16
-7682.65,2028-05-16
-7661.36,2028-06-16
-7676.58,2028-07-16
-7695.08,2028-08-16
-7693.44,2028-09-16
-7715.17,2028-10-16
-7745.56,2028-11-16
-7798.59,2028-12-16
-7860.23,2029-01-16
-7967.42,2029-02-16
-8010.25,2029-03-16
-8014.36,2029-04-16
-8019.65,2029-05-16
-7998.36,2029-06-16
-8013.58,2029-07-16
-8032.08,2029-08-16
-8030.44,2029-09-16
-8052.17,2029-10-16
-8082.55,2029-11-16
-8135.59,2029-12-16
-8197.23,2030-01-16
-8304.41,2030-02-16
-8347.25,2030-03-16
-8351.36,2030-04-16
-8356.65,2030-05-16
-8335.35,2030-06-16
-8350.57,2030-07-16
-8369.07,2030-08-16
-8367.44,2030-09-16
-8389.16,2030-10-16
-8419.55,2030-11-16
-8472.59,2030-12-16
-8534.22,2031-01-16
-8641.41,2031-02-16
-8684.25,2031-03-16
-8688.35,2031-04-16
-8693.65,2031-05-16
-8672.35,2031-06-16
-8687.57,2031-07-16
