"rate","year","id"
315.7,1958-03-15,1
317.45,1958-04-16,2
317.51,1958-05-16,3
317.24,1958-06-16,4
315.86,1958-07-16,5
314.93,1958-08-15,6
313.2,1958-09-15,7
312.43,1958-10-15,8
313.33,1958-11-16,9
314.67,1958-12-16,10
315.58,1959-01-16,11
316.48,1959-02-15,12
316.65,1959-03-15,13
317.72,1959-04-16,14
318.29,1959-05-16,15
318.15,1959-06-16,16
316.54,1959-07-16,17
314.8,1959-08-15,18
313.84,1959-09-15,19
313.33,1959-10-15,20
314.81,1959-11-16,21
315.58,1959-12-16,22
316.43,1960-01-16,23
316.98,1960-02-16,24
317.58,1960-03-15,25
319.03,1960-04-15,26
320.04,1960-05-16,27
319.59,1960-06-16,28
318.18,1960-07-16,29
315.9,1960-08-16,30
314.17,1960-09-16,31
313.83,1960-10-15,32
315,1960-11-15,33
316.19,1960-12-16,34
316.89,1961-01-16,35
317.7,1961-02-15,36
318.54,1961-03-15,37
319.48,1961-04-16,38
320.58,1961-05-16,39
319.77,1961-06-16,40
318.57,1961-07-16,41
316.79,1961-08-15,42
314.99,1961-09-15,43
315.31,1961-10-15,44
316.1,1961-11-16,45
317.01,1961-12-16,46
317.94,1962-01-16,47
318.55,1962-02-15,48
319.68,1962-03-15,49
320.57,1962-04-16,50
321.02,1962-05-16,51
320.62,1962-06-16,52
319.61,1962-07-16,53
317.4,1962-08-15,54
316.25,1962-09-15,55
315.42,1962-10-15,56
316.69,1962-11-16,57
317.7,1962-12-16,58
318.74,1963-01-16,59
319.07,1963-02-15,60
319.86,1963-03-15,61
321.38,1963-04-16,62
322.25,1963-05-16,63
321.48,1963-06-16,64
319.74,1963-07-16,65
317.77,1963-08-15,66
316.21,1963-09-15,67
315.99,1963-10-15,68
317.07,1963-11-16,69
318.35,1963-12-16,70
319.57,1964-01-16,71
320.01,1964-02-16,72
320.74,1964-03-15,73
321.84,1964-04-15,74
322.26,1964-05-16,75
321.89,1964-06-16,76
320.44,1964-07-16,77
318.69,1964-08-16,78
316.7,1964-09-16,79
316.87,1964-10-15,80
317.68,1964-11-15,81
318.71,1964-12-16,82
319.44,1965-01-16,83
320.44,1965-02-15,84
320.89,1965-03-15,85
322.14,1965-04-16,86
322.17,1965-05-16,87
321.87,1965-06-16,88
321.21,1965-07-16,89
318.87,1965-08-15,90
317.81,1965-09-15,91
317.3,1965-10-15,92
318.87,1965-11-16,93
319.42,1965-12-16,94
320.62,1966-01-16,95
321.6,1966-02-15,96
322.39,1966-03-15,97
323.7,1966-04-16,98
324.08,1966-05-16,99
323.75,1966-06-16,100
322.38,1966-07-16,101
320.36,1966-08-15,102
318.64,1966-09-15,103
318.1,1966-10-15,104
319.78,1966-11-16,105
321.03,1966-12-16,106
322.33,1967-01-16,107
322.5,1967-02-15,108
323.04,1967-03-15,109
324.42,1967-04-16,110
325,1967-05-16,111
324.09,1967-06-16,112
322.54,1967-07-16,113
320.92,1967-08-15,114
319.25,1967-09-15,115
319.39,1967-10-15,116
320.73,1967-11-16,117
321.96,1967-12-16,118
322.57,1968-01-16,119
323.15,1968-02-16,120
323.89,1968-03-15,121
325.02,1968-04-15,122
325.57,1968-05-16,123
325.36,1968-06-16,124
324.14,1968-07-16,125
322.11,1968-08-16,126
320.33,1968-09-16,127
320.25,1968-10-15,128
321.32,1968-11-15,129
322.89,1968-12-16,130
324,1969-01-16,131
324.42,1969-02-15,132
325.63,1969-03-15,133
326.66,1969-04-16,134
327.38,1969-05-16,135
326.71,1969-06-16,136
325.88,1969-07-16,137
323.66,1969-08-15,138
322.38,1969-09-15,139
321.78,1969-10-15,140
322.86,1969-11-16,141
324.12,1969-12-16,142
325.06,1970-01-16,143
325.98,1970-02-15,144
326.93,1970-03-15,145
328.13,1970-04-16,146
328.08,1970-05-16,147
327.67,1970-06-16,148
326.34,1970-07-16,149
324.69,1970-08-15,150
323.1,1970-09-15,151
323.06,1970-10-15,152
324.01,1970-11-16,153
325.13,1970-12-16,154
326.17,1971-01-16,155
326.68,1971-02-15,156
327.17,1971-03-15,157
327.79,1971-04-16,158
328.93,1971-05-16,159
328.57,1971-06-16,160
327.36,1971-07-16,161
325.43,1971-08-15,162
323.36,1971-09-15,163
323.56,1971-10-15,164
324.8,1971-11-16,165
326.01,1971-12-16,166
326.77,1972-01-16,167
327.63,1972-02-16,168
327.75,1972-03-15,169
329.72,1972-04-15,170
330.07,1972-05-16,171
329.09,1972-06-16,172
328.04,1972-07-16,173
326.32,1972-08-16,174
324.84,1972-09-16,175
325.2,1972-10-15,176
326.5,1972-11-15,177
327.55,1972-12-16,178
328.55,1973-01-16,179
329.56,1973-02-15,180
330.3,1973-03-15,181
331.5,1973-04-16,182
332.48,1973-05-16,183
332.07,1973-06-16,184
330.87,1973-07-16,185
329.31,1973-08-15,186
327.51,1973-09-15,187
327.18,1973-10-15,188
328.16,1973-11-16,189
328.64,1973-12-16,190
329.35,1974-01-16,191
330.71,1974-02-15,192
331.48,1974-03-15,193
332.65,1974-04-16,194
333.19,1974-05-17,195
332.16,1974-06-17,196
331.07,1974-07-17,197
329.12,1974-08-17,198
327.32,1974-09-16,199
327.28,1974-10-16,200
328.3,1974-11-16,201
329.58,1974-12-16,202
330.73,1975-01-16,203
331.46,1975-02-15,204
331.9,1975-03-18,205
333.17,1975-04-17,206
333.94,1975-05-17,207
333.45,1975-06-17,208
331.97,1975-07-17,209
329.95,1975-08-17,210
328.5,1975-09-16,211
328.35,1975-10-16,212
329.37,1975-11-16,213
330.64,1975-12-16,214
331.59,1976-01-16,215
332.75,1976-02-15,216
333.52,1976-03-17,217
334.64,1976-04-16,218
334.77,1976-05-17,219
334,1976-06-16,220
333.06,1976-07-17,221
330.68,1976-08-16,222
328.95,1976-09-16,223
328.75,1976-10-16,224
330.15,1976-11-16,225
331.62,1976-12-16,226
332.66,1977-01-16,227
333.13,1977-02-15,228
334.95,1977-03-18,229
336.13,1977-04-17,230
336.93,1977-05-17,231
336.17,1977-06-17,232
334.88,1977-07-17,233
332.56,1977-08-17,234
331.29,1977-09-16,235
331.27,1977-10-16,236
332.41,1977-11-16,237
333.6,1977-12-16,238
334.95,1978-01-16,239
335.25,1978-02-15,240
336.66,1978-03-18,241
337.69,1978-04-17,242
338.03,1978-05-17,243
338.01,1978-06-17,244
336.4,1978-07-17,245
334.42,1978-08-17,246
332.37,1978-09-16,247
332.41,1978-10-16,248
333.75,1978-11-16,249
334.9,1978-12-16,250
336.14,1979-01-16,251
336.68,1979-02-15,252
338.27,1979-03-18,253
338.95,1979-04-17,254
339.21,1979-05-17,255
339.26,1979-06-17,256
337.54,1979-07-17,257
335.75,1979-08-17,258
333.98,1979-09-16,259
334.19,1979-10-16,260
335.31,1979-11-16,261
336.81,1979-12-16,262
337.9,1980-01-16,263
338.34,1980-02-15,264
340.01,1980-03-17,265
340.93,1980-04-16,266
341.48,1980-05-17,267
341.32,1980-06-16,268
339.4,1980-07-17,269
337.7,1980-08-16,270
336.19,1980-09-16,271
336.15,1980-10-16,272
337.27,1980-11-16,273
338.32,1980-12-16,274
339.29,1981-01-16,275
340.55,1981-02-15,276
341.61,1981-03-18,277
342.53,1981-04-17,278
343.03,1981-05-17,279
342.54,1981-06-17,280
340.78,1981-07-17,281
338.44,1981-08-17,282
336.95,1981-09-16,283
337.08,1981-10-16,284
338.58,1981-11-16,285
339.88,1981-12-16,286
340.96,1982-01-16,287
341.73,1982-02-15,288
342.81,1982-03-18,289
343.97,1982-04-17,290
344.63,1982-05-17,291
343.79,1982-06-17,292
342.32,1982-07-17,293
340.09,1982-08-17,294
338.28,1982-09-16,295
338.29,1982-10-16,296
339.6,1982-11-16,297
340.9,1982-12-16,298
341.68,1983-01-16,299
342.9,1983-02-15,300
343.33,1983-03-18,301
345.25,1983-04-17,302
346.03,1983-05-17,303
345.63,1983-06-17,304
344.19,1983-07-17,305
342.27,1983-08-17,306
340.35,1983-09-16,307
340.38,1983-10-16,308
341.59,1983-11-16,309
343.05,1983-12-16,310
344.1,1984-01-16,311
344.79,1984-02-15,312
345.52,1984-03-17,313
346.98,1984-04-16,314
347.63,1984-05-17,315
346.98,1984-06-16,316
345.53,1984-07-17,317
343.55,1984-08-16,318
341.4,1984-09-16,319
341.67,1984-10-16,320
343.07,1984-11-16,321
344.7,1984-12-16,322
345.21,1985-01-16,323
346.16,1985-02-15,324
347.74,1985-03-18,325
348.34,1985-04-17,326
349.06,1985-05-17,327
348.38,1985-06-17,328
346.71,1985-07-17,329
345.02,1985-08-17,330
343.27,1985-09-16,331
343.13,1985-10-16,332
344.49,1985-11-16,333
345.88,1985-12-16,334
346.56,1986-01-16,335
347.28,1986-02-15,336
348.07,1986-03-18,337
349.8,1986-04-17,338
350.44,1986-05-17,339
349.93,1986-06-17,340
348.16,1986-07-17,341
346.07,1986-08-17,342
345.22,1986-09-16,343
344.52,1986-10-16,344
345.92,1986-11-16,345
347.22,1986-12-16,346
348.46,1987-01-16,347
348.73,1987-02-15,348
349.73,1987-03-18,349
351.31,1987-04-17,350
352.06,1987-05-17,351
351.52,1987-06-17,352
350.11,1987-07-17,353
348.03,1987-08-17,354
346.52,1987-09-16,355
346.59,1987-10-16,356
347.96,1987-11-16,357
349.16,1987-12-16,358
350.39,1988-01-16,359
351.64,1988-02-15,360
352.4,1988-03-17,361
353.69,1988-04-16,362
354.21,1988-05-17,363
353.75,1988-06-16,364
352.69,1988-07-17,365
350.4,1988-08-16,366
348.92,1988-09-16,367
349.13,1988-10-16,368
350.2,1988-11-16,369
351.41,1988-12-16,370
352.91,1989-01-16,371
353.28,1989-02-15,372
353.97,1989-03-18,373
355.64,1989-04-17,374
355.86,1989-05-17,375
355.37,1989-06-17,376
353.99,1989-07-17,377
351.81,1989-08-17,378
350.05,1989-09-16,379
350.25,1989-10-16,380
351.49,1989-11-16,381
352.85,1989-12-16,382
353.8,1990-01-16,383
355.04,1990-02-15,384
355.73,1990-03-18,385
356.31,1990-04-17,386
357.32,1990-05-17,387
356.34,1990-06-17,388
354.84,1990-07-17,389
353.01,1990-08-17,390
351.31,1990-09-16,391
351.62,1990-10-16,392
353.07,1990-11-16,393
354.33,1990-12-16,394
354.84,1991-01-16,395
355.73,1991-02-15,396
357.23,1991-03-18,397
358.66,1991-04-17,398
359.13,1991-05-17,399
358.13,1991-06-17,400
356.22,1991-07-17,401
353.87,1991-08-17,402
352.25,1991-09-16,403
352.35,1991-10-16,404
353.81,1991-11-16,405
355.12,1991-12-16,406
356.25,1992-01-16,407
357.11,1992-02-15,408
357.86,1992-03-17,409
359.09,1992-04-16,410
359.59,1992-05-17,411
359.33,1992-06-16,412
357.01,1992-07-17,413
354.94,1992-08-16,414
352.95,1992-09-16,415
353.32,1992-10-16,416
354.32,1992-11-16,417
355.57,1992-12-16,418
357,1993-01-16,419
357.31,1993-02-15,420
358.47,1993-03-18,421
359.27,1993-04-17,422
360.19,1993-05-17,423
359.52,1993-06-17,424
357.33,1993-07-17,425
355.64,1993-08-17,426
354.03,1993-09-16,427
354.12,1993-10-16,428
355.41,1993-11-16,429
356.91,1993-12-16,430
358.24,1994-01-16,431
358.92,1994-02-15,432
359.99,1994-03-18,433
361.23,1994-04-17,434
361.65,1994-05-17,435
360.81,1994-06-17,436
359.38,1994-07-17,437
357.46,1994-08-17,438
355.73,1994-09-16,439
356.07,1994-10-16,440
357.53,1994-11-16,441
358.98,1994-12-16,442
359.92,1995-01-16,443
360.86,1995-02-15,444
361.83,1995-03-18,445
363.3,1995-04-17,446
363.69,1995-05-17,447
363.19,1995-06-17,448
361.64,1995-07-17,449
359.12,1995-08-17,450
358.17,1995-09-16,451
357.99,1995-10-16,452
359.45,1995-11-16,453
360.68,1995-12-16,454
362.07,1996-01-16,455
363.24,1996-02-15,456
364.17,1996-03-17,457
364.57,1996-04-16,458
365.13,1996-05-17,459
364.92,1996-06-16,460
363.55,1996-07-17,461
361.39,1996-08-16,462
359.54,1996-09-16,463
359.58,1996-10-16,464
360.89,1996-11-16,465
362.24,1996-12-16,466
363.09,1997-01-16,467
364.03,1997-02-15,468
364.51,1997-03-18,469
366.35,1997-04-17,470
366.64,1997-05-17,471
365.59,1997-06-17,472
364.31,1997-07-17,473
362.25,1997-08-17,474
360.29,1997-09-16,475
360.82,1997-10-16,476
362.49,1997-11-16,477
364.38,1997-12-16,478
365.27,1998-01-16,479
365.98,1998-02-15,480
367.24,1998-03-18,481
368.66,1998-04-17,482
369.42,1998-05-17,483
368.99,1998-06-17,484
367.82,1998-07-17,485
365.95,1998-08-17,486
364.02,1998-09-16,487
364.4,1998-10-16,488
365.52,1998-11-16,489
367.13,1998-12-16,490
368.18,1999-01-16,491
369.12,1999-02-15,492
369.68,1999-03-18,493
370.99,1999-04-17,494
370.96,1999-05-17,495
370.3,1999-06-17,496
369.45,1999-07-17,497
366.9,1999-08-17,498
364.81,1999-09-16,499
365.37,1999-10-16,500
366.72,1999-11-16,501
368.1,1999-12-16,502
369.29,2000-01-16,503
369.55,2000-02-15,504
370.6,2000-03-17,505
371.82,2000-04-16,506
371.58,2000-05-17,507
371.7,2000-06-16,508
369.86,2000-07-17,509
368.13,2000-08-16,510
367,2000-09-16,511
367.03,2000-10-16,512
368.37,2000-11-16,513
369.67,2000-12-16,514
370.59,2001-01-16,515
371.51,2001-02-15,516
372.46,2001-03-18,517
373.37,2001-04-17,518
373.84,2001-05-17,519
373.22,2001-06-17,520
371.5,2001-07-17,521
369.61,2001-08-17,522
368.18,2001-09-16,523
368.45,2001-10-16,524
369.76,2001-11-16,525
371.24,2001-12-16,526
372.53,2002-01-16,527
373.2,2002-02-15,528
374.12,2002-03-18,529
375.02,2002-04-17,530
375.76,2002-05-17,531
375.52,2002-06-17,532
374.01,2002-07-17,533
371.85,2002-08-17,534
370.75,2002-09-16,535
370.55,2002-10-16,536
372.25,2002-11-16,537
373.79,2002-12-16,538
374.88,2003-01-16,539
375.64,2003-02-15,540
376.45,2003-03-18,541
377.73,2003-04-17,542
378.6,2003-05-17,543
378.28,2003-06-17,544
376.7,2003-07-17,545
374.38,2003-08-17,546
373.17,2003-09-16,547
373.14,2003-10-16,548
374.66,2003-11-16,549
375.99,2003-12-16,550
377,2004-01-16,551
377.87,2004-02-15,552
378.88,2004-03-17,553
380.35,2004-04-16,554
380.62,2004-05-17,555
379.69,2004-06-16,556
377.47,2004-07-17,557
376.01,2004-08-16,558
374.25,2004-09-16,559
374.46,2004-10-16,560
376.16,2004-11-16,561
377.51,2004-12-16,562
378.46,2005-01-16,563
379.73,2005-02-15,564
380.77,2005-03-18,565
382.29,2005-04-17,566
382.45,2005-05-17,567
382.21,2005-06-17,568
380.74,2005-07-17,569
378.74,2005-08-17,570
376.7,2005-09-16,571
377,2005-10-16,572
378.35,2005-11-16,573
380.11,2005-12-16,574
381.38,2006-01-16,575
382.2,2006-02-15,576
382.67,2006-03-18,577
384.61,2006-04-17,578
385.03,2006-05-17,579
384.05,2006-06-17,580
382.46,2006-07-17,581
380.41,2006-08-17,582
378.85,2006-09-16,583
379.13,2006-10-16,584
380.18,2006-11-16,585
381.82,2006-12-16,586
382.89,2007-01-16,587
383.9,2007-02-15,588
384.58,2007-03-18,589
386.5,2007-04-17,590
386.56,2007-05-17,591
386.1,2007-06-17,592
384.5,2007-07-17,593
381.99,2007-08-17,594
380.96,2007-09-16,595
381.12,2007-10-16,596
382.45,2007-11-16,597
383.94,2007-12-16,598
385.52,2008-01-16,599
385.82,2008-02-15,600
386.03,2008-03-17,601
387.09,2008-04-16,602
388.54,2008-05-17,603
387.76,2008-06-16,604
386.36,2008-07-17,605
384.09,2008-08-16,606
383.19,2008-09-16,607
382.99,2008-10-16,608
384.19,2008-11-16,609
385.56,2008-12-16,610
386.94,2009-01-16,611
387.48,2009-02-15,612
388.82,2009-03-18,613
389.55,2009-04-17,614
390.14,2009-05-17,615
389.48,2009-06-17,616
388.03,2009-07-17,617
386.11,2009-08-17,618
384.74,2009-09-16,619
384.43,2009-10-16,620
386.02,2009-11-16,621
387.42,2009-12-16,622
388.71,2010-01-16,623
390.2,2010-02-15,624
391.17,2010-03-18,625
392.46,2010-04-17,626
393,2010-05-17,627
392.15,2010-06-17,628
390.2,2010-07-17,629
388.35,2010-08-17,630
386.85,2010-09-16,631
387.24,2010-10-16,632
388.67,2010-11-16,633
389.79,2010-12-16,634
391.33,2011-01-16,635
391.86,2011-02-15,636
392.6,2011-03-18,637
393.25,2011-04-17,638
394.19,2011-05-17,639
393.74,2011-06-17,640
392.51,2011-07-17,641
390.13,2011-08-17,642
389.08,2011-09-16,643
388.99,2011-10-16,644
390.28,2011-11-16,645
391.86,2011-12-16,646
393.12,2012-01-16,647
393.86,2012-02-15,648
394.4,2012-03-17,649
396.18,2012-04-16,650
396.74,2012-05-17,651
395.71,2012-06-16,652
394.36,2012-07-17,653
392.39,2012-08-16,654
391.13,2012-09-16,655
391.05,2012-10-16,656
392.98,2012-11-16,657
394.34,2012-12-16,658
395.55,2013-01-16,659
396.8,2013-02-15,660
397.43,2013-03-18,661
398.41,2013-04-17,662
399.78,2013-05-17,663
398.6,2013-06-17,664
397.32,2013-07-17,665
395.2,2013-08-17,666
393.45,2013-09-16,667
393.7,2013-10-16,668
395.16,2013-11-16,669
396.84,2013-12-16,670
397.85,2014-01-16,671
398.01,2014-02-15,672
399.71,2014-03-18,673
401.33,2014-04-17,674
401.78,2014-05-17,675
401.25,2014-06-17,676
399.11,2014-07-17,677
397.03,2014-08-17,678
395.38,2014-09-16,679
396.07,2014-10-16,680
397.28,2014-11-16,681
398.91,2014-12-16,682
399.98,2015-01-16,683
400.35,2015-02-15,684
401.52,2015-03-18,685
403.15,2015-04-17,686
403.96,2015-05-17,687
402.8,2015-06-17,688
401.29,2015-07-17,689
398.93,2015-08-17,690
397.63,2015-09-16,691
398.29,2015-10-16,692
400.16,2015-11-16,693
401.85,2015-12-16,694
402.5,2016-01-16,695
404.07,2016-02-15,696
404.87,2016-03-17,697
407.42,2016-04-16,698
407.72,2016-05-17,699
406.81,2016-06-16,700
404.4,2016-07-17,701
402.26,2016-08-16,702
401.05,2016-09-16,703
401.6,2016-10-16,704
403.53,2016-11-16,705
404.44,2016-12-16,706
406.17,2017-01-16,707
406.47,2017-02-15,708
407.23,2017-03-18,709
409.03,2017-04-17,710
409.69,2017-05-17,711
408.89,2017-06-17,712
407.13,2017-07-17,713
405.12,2017-08-17,714
403.37,2017-09-16,715
403.63,2017-10-16,716
405.12,2017-11-16,717
406.81,2017-12-16,718
407.96,2018-01-16,719
408.32,2018-02-15,720
409.39,2018-03-18,721
410.25,2018-04-17,722
411.24,2018-05-17,723
410.79,2018-06-17,724
408.7,2018-07-17,725
406.97,2018-08-17,726
405.52,2018-09-16,727
406,2018-10-16,728
408.02,2018-11-16,729
409.08,2018-12-16,730
410.83,2019-01-16,731
411.75,2019-02-15,732
411.97,2019-03-18,733
413.33,2019-04-17,734
414.64,2019-05-17,735
413.93,2019-06-17,736
411.74,2019-07-17,737
409.95,2019-08-17,738
408.54,2019-09-16,739
408.52,2019-10-16,740
410.25,2019-11-16,741
411.76,2019-12-16,742
413.39,2020-01-16,743
414.11,2020-02-15,744
414.51,2020-03-17,745
416.21,2020-04-16,746
417.07,2020-05-17,747
416.38,2020-06-16,748
414.38,2020-07-17,749
412.55,2020-08-16,750
411.29,2020-09-16,751
411.28,2020-10-16,752
413.03,2020-11-16,753
414.4,2020-12-16,754
415.69,2021-01-16,755
416.36,2021-02-16,756
417.13,2021-03-16,757
418.65,2021-04-16,758
419.39,2021-05-16,759
418.57,2021-06-16,760
416.72,2021-07-16,761
414.83,2021-08-16,762
413.46,2021-09-16,763
413.73,2021-10-16,764
415.39,2021-11-16,765
416.76,2021-12-16,766
418.05,2022-01-16,767
418.72,2022-02-16,768
419.49,2022-03-16,769
421.01,2022-04-16,770
421.74,2022-05-16,771
420.92,2022-06-16,772
419.08,2022-07-16,773
417.18,2022-08-16,774
415.82,2022-09-16,775
416.09,2022-10-16,776
417.74,2022-11-16,777
419.12,2022-12-16,778
420.41,2023-01-16,779
421.08,2023-02-16,780
421.85,2023-03-16,781
423.36,2023-04-16,782
424.1,2023-05-16,783
423.28,2023-06-16,784
421.44,2023-07-16,785
419.54,2023-08-16,786
418.18,2023-09-16,787
418.45,2023-10-16,788
420.1,2023-11-16,789
421.48,2023-12-16,790
422.77,2024-01-16,791
423.44,2024-02-16,792
424.21,2024-03-16,793
425.72,2024-04-16,794
426.46,2024-05-16,795
425.64,2024-06-16,796
423.8,2024-07-16,797
421.9,2024-08-16,798
420.54,2024-09-16,799
420.8,2024-10-16,800
422.46,2024-11-16,801
423.83,2024-12-16,802
425.12,2025-01-16,803
425.79,2025-02-16,804
426.56,2025-03-16,805
428.08,2025-04-16,806
428.82,2025-05-16,807
428,2025-06-16,808
426.15,2025-07-16,809
424.26,2025-08-16,810
422.89,2025-09-16,811
423.16,2025-10-16,812
424.82,2025-11-16,813
426.19,2025-12-16,814
427.48,2026-01-16,815
428.15,2026-02-16,816
428.92,2026-03-16,817
430.44,2026-04-16,818
431.18,2026-05-16,819
430.35,2026-06-16,820
428.51,2026-07-16,821
426.61,2026-08-16,822
425.25,2026-09-16,823
425.52,2026-10-16,824
427.17,2026-11-16,825
428.55,2026-12-16,826
429.84,2027-01-16,827
430.51,2027-02-16,828
431.28,2027-03-16,829
432.79,2027-04-16,830
433.53,2027-05-16,831
432.71,2027-06-16,832
430.87,2027-07-16,833
428.97,2027-08-16,834
427.61,2027-09-16,835
427.88,2027-10-16,836
429.53,2027-11-16,837
430.91,2027-12-16,838
432.2,2028-01-16,839
432.87,2028-02-16,840
433.64,2028-03-16,841
435.15,2028-04-16,842
435.89,2028-05-16,843
435.07,2028-06-16,844
433.23,2028-07-16,845
431.33,2028-08-16,846
429.97,2028-09-16,847
430.24,2028-10-16,848
431.89,2028-11-16,849
433.26,2028-12-16,850
434.55,2029-01-16,851
435.22,2029-02-16,852
435.99,2029-03-16,853
437.51,2029-04-16,854
438.25,2029-05-16,855
437.43,2029-06-16,856
435.58,2029-07-16,857
433.69,2029-08-16,858
432.32,2029-09-16,859
432.59,2029-10-16,860
434.25,2029-11-16,861
435.62,2029-12-16,862
436.91,2030-01-16,863
437.58,2030-02-16,864
438.35,2030-03-16,865
439.87,2030-04-16,866
440.61,2030-05-16,867
439.78,2030-06-16,868
437.94,2030-07-16,869
436.04,2030-08-16,870
434.68,2030-09-16,871
434.95,2030-10-16,872
436.6,2030-11-16,873
437.98,2030-12-16,874
439.27,2031-01-16,875
439.94,2031-02-16,876
440.71,2031-03-16,877
442.23,2031-04-16,878
442.96,2031-05-16,879
442.14,2031-06-16,880
440.3,2031-07-16,881
438.4,2031-08-16,882
